Category,Total,Positive,Negative,GAP,Percentage
F,"[1819, 1819, 1819, 1819]","[179, 190, 324, 1495]","[1640, 1629, 1495, 324]","[0.994413407821229, 0.6894736842105263, 1.0, 0.0]","[0.5541795665634675, 0.5523255813953488, 0.5364238410596026, 0.4827252179528576]"
M,"[1882, 1882, 1882, 1882]","[144, 154, 280, 1602]","[1738, 1728, 1602, 280]","[0.0, 0.0, 0.26785714285714285, 0.7721598002496879]","[0.4458204334365325, 0.4476744186046512, 0.46357615894039733, 0.5172747820471424]"
