age_decile,slvh,dlv,composite,no_finding
0-20,,0.9166666666666666,1.0,0.0
20-40,0.8333333333333334,0.8958333333333334,0.971830985915493,0.3701149425287356
40-60,0.5432098765432098,0.03260869565217391,0.5102040816326531,0.37786259541984735
60-80,0.4788732394366197,0.3935483870967742,0.6691176470588235,0.4374572795625427
80+,0.6052631578947368,0.35135135135135137,0.5980392156862745,0.3415233415233415
