Category,Total,Positive,Negative,GAP,Percentage
20-40,"[506, 506, 506, 506]","[24, 48, 71, 435]","[482, 458, 435, 71]","[0.8333333333333334, 0.8958333333333334, 0.971830985915493, 0.3701149425287356]","[0.07430340557275542, 0.13953488372093023, 0.11754966887417219, 0.14045850823377462]"
40-60,"[933, 933, 933, 933]","[81, 92, 147, 786]","[852, 841, 786, 147]","[0.5432098765432098, 0.03260869565217391, 0.5102040816326531, 0.37786259541984735]","[0.25077399380804954, 0.26744186046511625, 0.2433774834437086, 0.2537939941879238]"
60-80,"[1735, 1735, 1735, 1735]","[142, 155, 272, 1463]","[1593, 1580, 1463, 272]","[0.4788732394366197, 0.3935483870967742, 0.6691176470588235, 0.4374572795625427]","[0.43962848297213625, 0.45058139534883723, 0.4503311258278146, 0.4723926380368098]"
80+,"[509, 509, 509, 509]","[76, 37, 102, 407]","[433, 472, 407, 102]","[0.6052631578947368, 0.35135135135135137, 0.5980392156862745, 0.3415233415233415]","[0.23529411764705882, 0.10755813953488372, 0.16887417218543047, 0.1314175008072328]"
0-20,"[18, 18, 18, 18]","[0, 12, 12, 6]","[18, 6, 6, 12]","[0, 0.9166666666666666, 1.0, 0.0]","[0.0, 0.03488372093023256, 0.019867549668874173, 0.0019373587342589602]"
