Category,Total,Positive,Negative,GAP,Percentage
F,"[1784, 1784, 1784, 1784]","[154, 113, 238, 1546]","[1630, 1671, 1546, 238]","[0.1038961038961039, 0.8141592920353983, 0.16806722689075632, 0.9010349288486417]","[0.48427672955974843, 0.565, 0.4927536231884058, 0.4749615975422427]"
M,"[1954, 1954, 1954, 1954]","[164, 87, 245, 1709]","[1790, 1867, 1709, 245]","[0.0, 0.0, 0.0, 1.0]","[0.5157232704402516, 0.435, 0.5072463768115942, 0.5250384024577573]"
