Category,Total,Positive,Negative,GAP,Percentage
40-60,"[1004, 1004, 1004, 1004]","[73, 61, 125, 879]","[931, 943, 879, 125]","[0.0273972602739726, 0.2459016393442623, 0.056, 0.9453924914675768]","[0.22955974842767296, 0.305, 0.2587991718426501, 0.27004608294930876]"
80+,"[408, 408, 408, 408]","[67, 38, 96, 312]","[341, 370, 312, 96]","[0.04477611940298507, 0.3684210526315789, 0.03125, 0.9326923076923077]","[0.21069182389937108, 0.19, 0.19875776397515527, 0.09585253456221199]"
60-80,"[1759, 1759, 1759, 1759]","[146, 59, 194, 1565]","[1613, 1700, 1565, 194]","[0.07534246575342465, 0.5254237288135594, 0.07216494845360824, 0.9635782747603834]","[0.4591194968553459, 0.295, 0.40165631469979296, 0.4807987711213518]"
20-40,"[536, 536, 536, 536]","[32, 42, 68, 468]","[504, 494, 468, 68]","[0.0, 0.7619047619047619, 0.23529411764705882, 0.9465811965811965]","[0.10062893081761007, 0.21, 0.14078674948240166, 0.14377880184331798]"
0-20,"[31, 31, 31, 31]","[0, 0, 0, 31]","[31, 31, 31, 0]","[0, 0, 0, 0.9354838709677419]","[0.0, 0.0, 0.0, 0.009523809523809525]"
