Category,Total,Positive,Negative,GAP,Percentage
60-80,"[1507, 1507, 1507, 1507]","[112, 66, 174, 1333]","[1395, 1441, 1333, 174]","[0.13392857142857142, 0.7878787878787878, 0.028735632183908046, 0.9804951237809453]","[0.2955145118733509, 0.32195121951219513, 0.3320610687022901, 0.433636955107352]"
80+,"[388, 388, 388, 388]","[64, 17, 75, 313]","[324, 371, 313, 75]","[0.375, 0.8823529411764706, 0.06666666666666667, 0.952076677316294]","[0.16886543535620052, 0.08292682926829269, 0.1431297709923664, 0.1018217306441119]"
40-60,"[1404, 1404, 1404, 1404]","[197, 117, 267, 1137]","[1207, 1287, 1137, 267]","[0.20304568527918782, 0.6495726495726496, 0.04119850187265917, 0.9736147757255936]","[0.5197889182058048, 0.5707317073170731, 0.5095419847328244, 0.36987638256343525]"
20-40,"[293, 293, 293, 293]","[6, 5, 8, 285]","[287, 288, 285, 8]","[0.0, 1.0, 0.0, 0.9789473684210527]","[0.0158311345646438, 0.024390243902439025, 0.015267175572519083, 0.09271307742355238]"
0-20,"[6, 6, 6, 6]","[0, 0, 0, 6]","[6, 6, 6, 0]","[0, 0, 0, 1.0]","[0.0, 0.0, 0.0, 0.001951854261548471]"
