Category,Total,Positive,Negative,GAP,Percentage
F,"[1678, 1678, 1678, 1678]","[190, 101, 247, 1431]","[1488, 1577, 1431, 247]","[0.41578947368421054, 0.900990099009901, 0.08502024291497975, 0.9461914744933613]","[0.5013192612137203, 0.4926829268292683, 0.4713740458015267, 0.46551724137931033]"
M,"[1920, 1920, 1920, 1920]","[189, 104, 277, 1643]","[1731, 1816, 1643, 277]","[0.0, 0.5480769230769231, 0.0, 1.0]","[0.49868073878627966, 0.5073170731707317, 0.5286259541984732, 0.5344827586206896]"
