age_decile,slvh,dlv,composite,no_finding
0-20,1.0,,1.0,0.25
20-40,1.0,0.4166666666666667,0.967741935483871,0.15853658536585366
40-60,1.0,0.2987012987012987,0.8636363636363636,0.1438278595696489
60-80,1.0,0.32894736842105265,0.9111111111111111,0.15218902015288394
80+,1.0,0.32142857142857145,0.9066666666666666,0.15706806282722513
