Category,Total,Positive,Negative,GAP,Percentage
60-80,"[1704, 1704, 1704, 1704]","[123, 119, 228, 1476]","[1581, 1585, 1476, 228]","[0.2926829268292683, 0.0, 0.2324561403508772, 0.8285907859078591]","[0.5082644628099173, 0.49583333333333335, 0.4956521739130435, 0.4871287128712871]"
20-40,"[272, 272, 272, 272]","[6, 6, 12, 260]","[266, 266, 260, 12]","[0.0, 0.0, 0.25, 0.6730769230769231]","[0.024793388429752067, 0.025, 0.02608695652173913, 0.0858085808580858]"
40-60,"[1058, 1058, 1058, 1058]","[58, 100, 156, 902]","[1000, 958, 902, 156]","[0.41379310344827586, 0.0, 0.20512820512820512, 0.7771618625277162]","[0.2396694214876033, 0.4166666666666667, 0.3391304347826087, 0.2976897689768977]"
80+,"[448, 448, 448, 448]","[55, 15, 64, 384]","[393, 433, 384, 64]","[0.41818181818181815, 0.0, 0.40625, 0.6484375]","[0.22727272727272727, 0.0625, 0.1391304347826087, 0.12673267326732673]"
0-20,"[8, 8, 8, 8]","[0, 0, 0, 8]","[8, 8, 8, 0]","[0, 0, 0, 0.5]","[0.0, 0.0, 0.0, 0.0026402640264026403]"
