Category,Total,Positive,Negative,GAP,Percentage
F,"[1761, 1761, 1761, 1761]","[172, 77, 238, 1523]","[1589, 1684, 1523, 238]","[0.18023255813953487, 0.0, 0.15546218487394958, 0.9317137229152987]","[0.49710982658959535, 0.385, 0.46303501945525294, 0.4813527180783818]"
M,"[1917, 1917, 1917, 1917]","[174, 123, 276, 1641]","[1743, 1794, 1641, 276]","[0.0, 0.0, 0.0, 1.0]","[0.5028901734104047, 0.615, 0.5369649805447471, 0.5186472819216182]"
