Category,Total,Positive,Negative,GAP,Percentage
40-60,"[1080, 1080, 1080, 1080]","[137, 80, 208, 872]","[943, 1000, 872, 208]","[0.08759124087591241, 0.0, 0.07211538461538461, 0.9610091743119266]","[0.3959537572254335, 0.4, 0.4046692607003891, 0.27560050568900124]"
60-80,"[1820, 1820, 1820, 1820]","[128, 76, 192, 1628]","[1692, 1744, 1628, 192]","[0.09375, 0.0, 0.06770833333333333, 0.9668304668304668]","[0.3699421965317919, 0.38, 0.3735408560311284, 0.5145385587863464]"
80+,"[467, 467, 467, 467]","[68, 24, 88, 379]","[399, 443, 379, 88]","[0.07352941176470588, 0.0, 0.07954545454545454, 0.9683377308707124]","[0.19653179190751446, 0.12, 0.17120622568093385, 0.11978508217446271]"
20-40,"[310, 310, 310, 310]","[13, 20, 26, 284]","[297, 290, 284, 26]","[0.15384615384615385, 0.0, 0.07692307692307693, 0.9859154929577465]","[0.03757225433526012, 0.1, 0.05058365758754864, 0.0897597977243995]"
0-20,"[1, 1, 1, 1]","[0, 0, 0, 1]","[1, 1, 1, 0]","[0, 0, 0, 1.0]","[0.0, 0.0, 0.0, 0.0003160556257901391]"
