Disease,Age Group,Mean GAP,STD GAP,Total
slvh,M,0.20699879511760702,0.014581251895246693,9258
dlv,M,0.0,0.0,9258
composite,M,0.2754634264825898,0.00999091102831588,9258
no_finding,M,0.7419572679644644,0.003915463035054252,9258
slvh,F,0.7563538213089402,0.013517780191523558,8585
dlv,F,0.0039603960396039604,0.0003547967201150823,8585
composite,F,0.8151516248187475,0.010939840390026928,8585
no_finding,F,0.20228785110795217,0.004983555422965623,8585
